customer_id,customer_unique_id,customer_state
c0277,u0277,RJ
c0278,u0278,SC
c0279,u0279,BA
c0280,u0280,SP
c0281,u0281,SP
c0282,u0282,SP
c0283,u0283,SP
c0284,u0284,MG
c0285,u0285,RJ
c0286,u0286,SP
c0287,u0287,SP
c0288,u0288,RJ
c0289,u0289,SP
c0290,u0290,BA
c0291,u0291,SP
c0292,u0292,PE
c0293,u0293,SP
c0294,u0294,BA
c0295,u0295,SC
c0296,u0296,DF
c0297,u0297,PR
c0298,u0298,PR
c0299,u0299,MG
c0300,u0300,PR
c0301,u0301,SP
c0302,u0302,RJ
c0303,u0303,RJ
c0304,u0304,BA
c0305,u0305,RJ
c0306,u0306,SP
c0307,u0307,MG
c0308,u0308,SP
c0309,u0309,SP
c0310,u0310,RJ
c0311,u0311,RJ
c0312,u0312,SP
c0313,u0313,SP
c0314,u0314,SP
c0315,u0315,SP
c0316,u0316,SP
c0317,u0317,RS
c0318,u0318,SP
c0319,u0319,GO
c0320,u0320,PE
c0321,u0321,RJ
c0322,u0322,SP
c0323,u0323,RJ
c0324,u0324,BA
c0325,u0325,MG
c0326,u0326,PR
c0327,u0327,RJ
c0328,u0328,MG
c0329,u0329,SP
c0330,u0330,RS
c0331,u0331,SP
c0332,u0332,RS
c0333,u0333,BA
c0334,u0334,SP
c0335,u0335,MG
c0336,u0336,SP
c0337,u0337,RS
c0338,u0338,SP
c0339,u0339,PE
c0340,u0340,SP
c0341,u0341,GO
c0342,u0342,PR
c0343,u0343,MG
c0344,u0344,PR
c0345,u0345,PR
c0346,u0346,GO
c0347,u0347,SP
c0348,u0348,MG
c0349,u0349,SP
c0350,u0350,MG
c0351,u0351,SP
c0352,u0352,MG
c0353,u0353,MG
c0354,u0354,RJ
c0355,u0355,RJ
c0356,u0356,PR
c0357,u0357,PR
c0358,u0358,RJ
c0359,u0359,MG
c0360,u0360,PE
c0361,u0361,SP
c0362,u0362,SP
c0363,u0363,SP
c0364,u0364,MG
c0365,u0365,RJ
c0366,u0366,PR
c0367,u0367,RS
c0368,u0368,SP
c0369,u0369,SC
c0370,u0370,PR
c0371,u0371,SP
c0372,u0372,SP
c0373,u0373,SP
c0374,u0374,SP
c0375,u0375,SP
c0376,u0376,PE
c0377,u0377,RJ
c0378,u0378,SP
c0379,u0379,RS
c0380,u0380,MG
c0381,u0381,PE
c0382,u0382,PR
c0383,u0383,RJ
c0384,u0384,SP
c0385,u0385,DF
c0386,u0386,RS
c0387,u0387,GO
c0388,u0388,SP
c0389,u0389,BA
c0390,u0390,MG
c0391,u0391,SP
c0392,u0392,MG
c0393,u0393,RS
c0394,u0394,SP
c0395,u0395,RJ
c0396,u0396,BA
c0397,u0397,SP
c0398,u0398,RJ
c0399,u0399,RJ
c0400,u0400,SP
c0401,u0401,PE
c0402,u0402,PR
c0403,u0403,SP
c0404,u0404,DF
c0405,u0405,SC
c0406,u0406,SP
c0407,u0407,BA
c0408,u0408,SP
c0409,u0409,DF
c0410,u0410,MG
c0411,u0411,MG
c0412,u0412,SP
c0413,u0413,SC
c0414,u0414,SP
c0415,u0415,SP
c0416,u0416,SP
c0417,u0417,PR
c0418,u0418,SP
c0419,u0419,PE
c0420,u0420,MG
c0421,u0421,SP
c0422,u0422,SP
c0423,u0423,SP
c0424,u0424,MG
c0425,u0425,PR
c0426,u0426,SP
c0427,u0427,BA
c0428,u0428,SP
c0429,u0429,PR
c0430,u0430,PE
c0431,u0431,PR
c0432,u0432,RS
c0433,u0433,BA
c0434,u0434,SP
c0435,u0435,SP
c0436,u0436,SP
c0437,u0437,RJ
c0438,u0438,RS
c0439,u0439,MG
c0440,u0440,BA
c0441,u0441,SP
c0442,u0442,RS
c0443,u0443,SP
c0444,u0444,SP
c0445,u0445,RS
c0446,u0446,DF
c0447,u0447,MG
c0448,u0448,SP
c0449,u0449,MG
c0450,u0450,SP
c0451,u0451,SC
c0452,u0452,RS
c0453,u0453,SP
c0454,u0454,SP
c0455,u0455,SP
c0456,u0456,DF
c0457,u0457,RJ
c0458,u0458,PR
c0459,u0459,MG
c0460,u0460,MG
c0461,u0461,SP
c0462,u0462,GO
c0463,u0463,SP
c0464,u0464,MG
c0465,u0465,RS
c0466,u0466,MG
c0467,u0467,GO
c0468,u0468,SP
c0469,u0469,RJ
c0470,u0470,RJ
c0471,u0471,RJ
c0472,u0472,SP
c0473,u0473,SP
c0474,u0474,SP
c0475,u0475,SP
c0476,u0476,RJ
c0477,u0477,MG
c0478,u0478,MG
c0479,u0479,RJ
c0480,u0480,RJ
c0481,u0481,SP
c0482,u0482,MG
c0483,u0483,SP
c0484,u0484,SP
c0485,u0485,RJ
c0486,u0486,RJ
c0487,u0487,SP
c0488,u0488,MG
c0489,u0489,MG
c0490,u0490,RS
c0491,u0491,MG
c0492,u0492,MG
c0493,u0493,SP
c0494,u0494,PR
c0495,u0495,RJ
c0496,u0496,RJ
c0497,u0497,MG
c0498,u0498,SP
c0499,u0499,RJ
c0500,u0500,RS
c0501,u0501,SC
c0502,u0502,PE
c0503,u0503,RJ
c0504,u0504,RJ
c0505,u0505,PR
c0506,u0506,SP
c0507,u0507,BA
c0508,u0508,RJ
c0509,u0509,SP
c0510,u0510,SP
c0511,u0511,BA
c0512,u0512,SP
c0513,u0513,SP
c0514,u0514,SP
c0515,u0515,SP
c0516,u0516,SP
c0517,u0517,RS
c0518,u0518,SP
c0519,u0519,BA
c0520,u0520,BA
c0521,u0521,SP
c0522,u0522,SP
c0523,u0523,MG
c0524,u0524,SP
c0525,u0525,SP
c0526,u0526,GO
c0527,u0527,DF
c0528,u0528,PR
c0529,u0529,SP
c0530,u0530,RS
c0531,u0531,RS
c0532,u0532,SP
c0533,u0533,MG
c0534,u0534,SP
c0535,u0535,SP
c0536,u0536,RJ
c0537,u0537,SP
c0538,u0538,SP
c0539,u0539,BA
c0540,u0540,DF
c0541,u0541,MG
c0542,u0542,BA
c0543,u0543,DF
c0544,u0544,SP
c0545,u0545,RJ
c0546,u0546,SP
c0547,u0547,SP
c0548,u0548,PR
c0549,u0549,RJ
c0550,u0550,RJ
c0551,u0551,SP
c0552,u0552,SP
c0553,u0553,SC
c0554,u0554,SP
c0555,u0555,SP
c0556,u0556,SP
c0557,u0557,RJ
c0558,u0558,MG
c0559,u0559,RJ
c0560,u0560,SP
c0561,u0561,SP
c0562,u0562,BA
c0563,u0563,MG
c0564,u0564,MG
c0565,u0565,RS
c0566,u0566,PR
c0567,u0567,SP
c0568,u0568,SP
c0569,u0569,RJ
c0570,u0570,SP
c0571,u0571,BA
c0572,u0572,RJ
c0573,u0573,PR
c0574,u0574,BA
c0575,u0575,RJ
c0576,u0576,SC
c0577,u0577,MG
c0578,u0578,BA
c0579,u0579,SP
c0580,u0580,RJ
c0581,u0581,RJ
c0582,u0582,SP
c0583,u0583,SP
c0584,u0584,PE
c0585,u0585,MG
c0586,u0586,SP
c0587,u0587,SP
c0588,u0588,SP
c0589,u0589,SP
c0590,u0590,PE
c0591,u0591,RJ
c0592,u0592,SP
c0593,u0593,MG
c0594,u0594,SP
c0595,u0595,SP
c0596,u0596,RS
c0597,u0597,MG
c0598,u0598,DF
c0599,u0599,MG
c0600,u0600,RJ
c0601,u0601,PR
c0602,u0602,SC
c0603,u0603,RS
c0604,u0604,GO
c0605,u0605,PR
c0606,u0606,BA
c0607,u0607,SP
c0608,u0608,RS
c0609,u0609,RJ
c0610,u0610,MG
c0611,u0611,MG
c0612,u0612,GO
c0613,u0613,DF
c0614,u0614,SP
c0615,u0615,RS
c0616,u0616,RS
c0617,u0617,SP
c0618,u0618,SP
c0619,u0619,SP
c0620,u0620,PR
c0621,u0621,RJ
c0622,u0622,DF
c0623,u0623,RJ
c0624,u0624,DF
c0625,u0625,RJ
c0626,u0626,PR
c0627,u0627,SP
c0628,u0628,MG
c0629,u0629,PR
c0630,u0630,PE
c0631,u0631,BA
c0632,u0632,SP
c0633,u0633,SP
c0634,u0634,SP
c0635,u0635,SP
c0636,u0636,RS
c0637,u0637,RS
c0638,u0638,PR
c0639,u0639,BA
c0640,u0640,RS
c0641,u0641,PR
c0642,u0642,SP
c0643,u0643,SP
c0644,u0644,MG
c0645,u0645,BA
c0646,u0646,SP
c0647,u0647,RJ
c0648,u0648,RS
c0649,u0649,SP
c0650,u0650,RJ
c0651,u0651,SC
c0652,u0652,RS
c0653,u0653,SP
c0654,u0654,BA
c0655,u0655,SP
c0656,u0656,BA
c0657,u0657,SP
c0658,u0658,MG
c0659,u0659,SP
c0660,u0660,SP
c0661,u0661,SC
c0662,u0662,SP
c0663,u0663,SP
c0664,u0664,SP
c0665,u0665,RS
c0666,u0666,PR
c0667,u0667,DF
c0668,u0668,SP
c0669,u0669,RJ
c0670,u0670,SP
c0671,u0671,MG
c0672,u0672,DF
c0673,u0673,RS
c0674,u0674,MG
c0675,u0675,SP
c0676,u0676,PE
c0677,u0677,RJ
c0678,u0678,SP
c0679,u0679,SP
c0680,u0680,SP
c0681,u0681,SP
c0682,u0682,SP
c0683,u0683,RJ
c0684,u0684,MG
c0685,u0685,SP
c0686,u0686,RJ
c0687,u0687,GO
c0688,u0688,PR
c0689,u0689,RJ
c0690,u0690,SP
c0691,u0691,SC
c0692,u0692,SP
c0693,u0693,SP
c0694,u0694,SC
c0695,u0695,RJ
c0696,u0696,RS
c0697,u0697,MG
c0698,u0698,MG
c0699,u0699,SP
c0700,u0700,SP
c0701,u0701,SP
c0702,u0702,SP
c0703,u0703,SC
c0704,u0704,SP
c0705,u0705,MG
c0706,u0706,PR
c0707,u0707,PR
c0708,u0708,RJ
c0709,u0709,RJ
c0710,u0710,DF
c0711,u0711,RS
c0712,u0712,PR
c0713,u0713,SC
c0714,u0714,PR
c0715,u0715,SP
c0716,u0716,MG
c0717,u0717,SP
c0718,u0718,MG
c0719,u0719,GO
c0720,u0720,RJ
c0721,u0721,RJ
c0722,u0722,SP
c0723,u0723,GO
c0724,u0724,SP
c0725,u0725,SP
c0726,u0726,SP
c0727,u0727,SP
c0728,u0728,RJ
c0729,u0729,RJ
c0730,u0730,SP
c0731,u0731,SP
c0732,u0732,SP
c0733,u0733,SP
c0734,u0734,SP
c0735,u0735,RS
c0736,u0736,SP
c0737,u0737,SP
c0738,u0738,SP
c0739,u0739,RJ
c0740,u0740,SP
c0741,u0741,SP
c0742,u0742,BA
c0743,u0743,SP
c0744,u0744,RJ
c0745,u0745,RJ
c0746,u0746,SP
c0747,u0747,RJ
c0748,u0748,PR
c0749,u0749,BA
c0750,u0750,SP
c0751,u0751,SP
c0752,u0752,SP
c0753,u0753,RJ
c0754,u0754,RS
c0755,u0755,SP
c0756,u0756,SP
c0757,u0757,PE
c0758,u0758,SP
c0759,u0759,RJ
c0760,u0760,RS
c0761,u0761,SP
c0762,u0762,SP
c0763,u0763,SP
c0764,u0764,PE
c0765,u0765,SP
c0766,u0766,SP
c0767,u0767,SP
c0768,u0768,SP
c0769,u0769,MG
c0770,u0770,SP
c0771,u0771,MG
c0772,u0772,MG
c0773,u0773,BA
c0774,u0774,SP
c0775,u0775,BA
c0776,u0776,MG
c0777,u0777,SP
