order_id,payment_type,payment_value
o00632,credit_card,45.73
o00633,voucher,33.04
o00634,credit_card,58.13
o00635,boleto,70.49
o00636,credit_card,113.26
o00637,credit_card,54.33
o00638,credit_card,54.09
o00639,voucher,66.93
o00640,voucher,49.56
o00641,credit_card,29.95
o00642,voucher,34.31
o00643,boleto,132.66
o00644,credit_card,98.99
o00645,voucher,65.68
o00646,boleto,89.31
o00647,debit_card,100.75
o00648,credit_card,46.97
o00649,debit_card,38.1
o00650,credit_card,124.11
o00651,credit_card,20.6
o00652,credit_card,90.14
o00653,voucher,73.64
o00654,credit_card,116.48
o00655,voucher,92.07
o00656,credit_card,88.98
o00657,credit_card,40.03
o00658,credit_card,103.06
o00659,credit_card,83.84
o00660,credit_card,42.68
o00661,credit_card,74.01
o00662,credit_card,35.94
o00663,debit_card,21.03
o00664,voucher,60.78
o00665,boleto,238.92
o00666,credit_card,38.94
o00667,boleto,29.8
o00668,boleto,34.51
o00669,voucher,60.32
o00670,credit_card,96.04
o00671,debit_card,68.03
o00672,credit_card,31.83
o00673,credit_card,95.31
o00674,voucher,23.83
o00675,boleto,33.55
o00676,credit_card,48.5
o00677,credit_card,121.38
o00678,credit_card,69.53
o00679,credit_card,71.06
o00680,voucher,32.1
o00681,boleto,51.04
o00682,boleto,110.61
o00683,boleto,80.79
o00684,voucher,97.38
o00685,credit_card,65.45
o00686,credit_card,111.35
o00687,voucher,32.0
o00688,credit_card,59.54
o00689,boleto,87.82
o00690,credit_card,27.21
o00691,credit_card,16.52
o00692,boleto,183.51
o00693,credit_card,70.07
o00694,credit_card,25.94
o00695,credit_card,69.08
o00696,credit_card,33.8
o00697,boleto,40.02
o00698,credit_card,123.97
o00699,credit_card,49.13
o00700,credit_card,48.92
o00701,credit_card,33.27
o00702,credit_card,54.73
o00703,credit_card,72.62
o00704,credit_card,49.1
o00705,credit_card,218.6
o00706,credit_card,37.35
o00707,credit_card,37.24
o00708,credit_card,53.56
o00709,boleto,200.0
o00710,credit_card,98.34
o00711,boleto,48.25
o00712,debit_card,41.79
o00713,credit_card,48.27
o00714,credit_card,36.65
o00715,credit_card,52.74
o00716,credit_card,58.65
o00717,boleto,95.65
o00718,credit_card,84.15
o00719,credit_card,51.82
o00720,credit_card,151.0
o00721,credit_card,44.89
o00722,credit_card,29.51
o00723,credit_card,74.56
o00724,credit_card,118.25
o00725,credit_card,64.03
o00726,credit_card,32.62
o00727,credit_card,71.18
o00728,credit_card,76.29
o00729,credit_card,80.91
o00730,credit_card,71.99
o00731,credit_card,128.27
o00732,credit_card,36.21
o00733,credit_card,13.7
o00734,boleto,23.84
o00735,credit_card,32.39
o00736,debit_card,105.78
o00737,voucher,54.72
o00738,voucher,159.11
o00739,credit_card,34.9
o00740,credit_card,156.94
o00741,credit_card,40.24
o00742,credit_card,58.6
o00743,credit_card,26.03
o00744,credit_card,143.17
o00745,credit_card,63.0
o00746,boleto,225.87
o00747,credit_card,121.71
o00748,boleto,57.82
o00749,credit_card,43.56
o00750,boleto,108.68
o00751,voucher,66.69
o00752,credit_card,42.37
o00753,voucher,69.41
o00754,boleto,22.1
o00755,boleto,81.81
o00756,voucher,91.13
o00757,credit_card,34.29
o00758,boleto,130.5
o00759,credit_card,113.39
o00760,credit_card,77.56
o00761,boleto,38.77
o00762,credit_card,94.4
o00763,credit_card,53.14
o00764,credit_card,73.01
o00765,credit_card,99.87
o00766,credit_card,29.77
o00767,credit_card,25.51
o00768,credit_card,50.4
o00769,boleto,198.43
o00770,credit_card,232.94
o00771,credit_card,80.74
o00772,credit_card,115.39
o00773,boleto,64.47
o00774,credit_card,69.45
o00775,credit_card,58.56
o00776,credit_card,124.35
o00777,voucher,160.34
o00778,credit_card,68.54
o00779,credit_card,69.28
o00780,credit_card,60.22
o00781,credit_card,163.12
o00782,credit_card,106.54
o00783,credit_card,38.31
o00784,credit_card,194.12
o00785,credit_card,18.25
o00786,boleto,152.21
o00787,credit_card,118.05
o00788,boleto,68.66
o00789,boleto,67.72
o00790,credit_card,61.91
o00791,credit_card,39.24
o00792,credit_card,183.27
o00793,credit_card,66.59
o00794,boleto,38.88
o00795,credit_card,175.53
o00796,credit_card,86.07
o00797,credit_card,89.14
o00798,credit_card,204.35
o00799,boleto,96.57
o00800,credit_card,47.1
o00801,credit_card,96.48
o00802,credit_card,41.07
o00803,credit_card,51.9
o00804,credit_card,79.24
o00805,credit_card,114.29
o00806,credit_card,48.54
o00807,credit_card,60.92
o00808,credit_card,60.56
o00809,credit_card,127.04
o00810,credit_card,67.67
o00811,credit_card,192.26
o00812,voucher,51.88
o00813,credit_card,49.67
o00814,credit_card,150.36
o00815,credit_card,91.83
o00816,boleto,280.96
o00817,boleto,146.63
o00818,credit_card,33.69
o00819,debit_card,66.78
o00820,boleto,79.18
o00821,credit_card,76.02
o00822,boleto,61.46
o00823,credit_card,75.15
o00824,credit_card,77.44
o00825,credit_card,48.95
o00826,credit_card,123.75
o00827,credit_card,176.99
o00828,credit_card,101.48
o00829,credit_card,84.47
o00830,boleto,64.43
o00831,credit_card,78.8
o00832,credit_card,83.45
o00833,debit_card,39.31
o00834,voucher,119.91
o00835,credit_card,53.76
o00836,credit_card,155.77
o00837,credit_card,12.24
o00838,credit_card,73.75
o00839,credit_card,121.23
o00840,credit_card,100.56
o00841,credit_card,33.91
o00842,credit_card,146.55
o00843,debit_card,44.68
o00844,credit_card,51.86
o00845,credit_card,54.31
o00846,credit_card,28.06
o00847,voucher,75.69
o00848,credit_card,126.08
o00849,credit_card,153.22
o00850,credit_card,61.45
o00851,voucher,67.35
o00852,boleto,104.8
o00853,boleto,62.39
o00854,credit_card,133.42
o00855,debit_card,65.52
o00856,credit_card,41.61
o00857,credit_card,76.81
o00858,credit_card,30.63
o00859,credit_card,76.23
o00860,credit_card,84.66
o00861,credit_card,44.8
o00862,boleto,82.74
o00863,credit_card,58.36
o00864,credit_card,43.85
o00865,credit_card,28.64
o00866,credit_card,32.29
o00867,boleto,166.62
o00868,debit_card,57.09
o00869,credit_card,83.47
o00870,credit_card,61.17
o00871,credit_card,169.47
o00872,credit_card,43.96
o00873,credit_card,70.58
o00874,credit_card,51.67
o00875,credit_card,120.39
o00876,boleto,82.96
o00877,credit_card,69.14
o00878,voucher,34.41
o00879,credit_card,225.01
o00880,credit_card,62.14
o00881,credit_card,40.31
o00882,credit_card,28.7
o00883,voucher,31.78
o00884,credit_card,68.77
o00885,boleto,121.59
o00886,credit_card,79.82
o00887,credit_card,29.5
o00888,boleto,68.69
o00889,credit_card,145.72
o00890,credit_card,56.03
o00891,credit_card,79.96
o00892,credit_card,57.36
o00893,credit_card,90.32
o00894,debit_card,43.61
o00895,credit_card,12.63
o00896,credit_card,35.4
o00897,voucher,52.33
o00898,credit_card,64.93
o00899,credit_card,53.44
o00900,boleto,52.87
o00901,credit_card,122.24
o00902,boleto,38.26
o00903,credit_card,68.95
o00904,credit_card,30.4
o00905,credit_card,101.52
o00906,credit_card,78.64
o00907,boleto,221.8
o00908,credit_card,37.52
o00909,credit_card,175.15
o00910,credit_card,40.1
o00911,voucher,55.8
o00912,credit_card,32.85
o00913,credit_card,219.67
o00914,credit_card,85.62
o00915,credit_card,86.16
o00916,credit_card,41.99
o00917,credit_card,19.13
o00918,credit_card,54.58
o00919,credit_card,49.25
o00920,voucher,24.48
o00921,credit_card,56.54
o00922,boleto,69.02
o00923,credit_card,89.06
o00924,credit_card,20.36
o00925,credit_card,33.85
o00926,debit_card,42.75
o00927,credit_card,125.68
o00928,credit_card,124.15
o00929,boleto,82.92
o00930,voucher,56.0
o00931,credit_card,130.71
o00932,boleto,77.14
o00933,credit_card,126.06
o00934,credit_card,85.16
o00935,credit_card,26.11
o00936,credit_card,18.99
o00937,boleto,52.99
o00938,boleto,109.21
o00939,credit_card,48.91
o00940,credit_card,147.53
o00941,credit_card,103.19
o00942,credit_card,139.0
o00943,credit_card,53.78
o00944,credit_card,38.93
o00945,boleto,36.07
o00946,credit_card,89.93
o00947,boleto,27.22
o00948,boleto,28.08
o00949,credit_card,47.4
o00950,credit_card,75.49
o00951,credit_card,43.12
o00952,credit_card,124.33
o00953,boleto,140.31
o00954,credit_card,15.59
o00955,boleto,86.11
o00956,credit_card,49.04
o00957,credit_card,112.3
o00958,credit_card,87.85
o00959,credit_card,73.48
o00960,boleto,62.09
o00961,boleto,28.15
o00962,credit_card,246.24
o00963,credit_card,33.65
o00964,voucher,176.48
o00965,credit_card,98.12
o00966,credit_card,50.36
o00967,boleto,46.43
o00968,boleto,27.57
o00969,credit_card,68.14
o00970,credit_card,27.01
o00971,credit_card,128.93
o00972,credit_card,77.72
o00973,credit_card,65.63
o00974,credit_card,70.45
o00975,boleto,79.55
o00976,credit_card,55.25
o00977,credit_card,59.37
o00978,boleto,189.98
o00979,credit_card,120.81
o00980,boleto,95.6
o00981,credit_card,50.37
o00982,credit_card,22.56
o00983,credit_card,89.07
o00984,credit_card,70.34
o00985,credit_card,58.64
o00986,boleto,63.89
o00987,voucher,34.65
o00988,boleto,39.89
o00989,credit_card,120.97
o00990,credit_card,19.86
o00991,credit_card,110.29
o00992,credit_card,151.98
o00993,credit_card,87.96
o00994,credit_card,85.42
o00995,credit_card,39.71
o00996,credit_card,42.84
o00997,credit_card,52.63
o00998,boleto,31.11
o00999,credit_card,41.21
o01000,boleto,70.19
o01001,boleto,50.92
o01002,credit_card,73.74
o01003,credit_card,120.68
o01004,credit_card,73.41
o01005,credit_card,85.99
o01006,credit_card,26.79
o01007,credit_card,119.31
o01008,credit_card,26.45
o01009,boleto,49.03
o01010,boleto,35.53
o01011,credit_card,22.62
o01012,credit_card,71.24
o01013,credit_card,90.43
o01014,credit_card,154.65
o01015,credit_card,77.16
o01016,boleto,41.07
o01017,boleto,50.27
o01018,credit_card,24.25
o01019,credit_card,53.16
o01020,credit_card,65.09
o01021,credit_card,88.16
o01022,credit_card,102.84
o01023,credit_card,86.45
o01024,credit_card,38.85
o01025,boleto,33.42
o01026,credit_card,98.35
o01027,credit_card,22.26
o01028,credit_card,209.12
o01029,credit_card,43.08
o01030,credit_card,130.08
o01031,credit_card,47.26
o01032,boleto,91.72
o01033,boleto,34.02
o01034,debit_card,67.3
o01035,boleto,25.01
o01036,boleto,79.57
o01037,credit_card,33.73
o01038,credit_card,36.43
o01039,debit_card,51.7
o01040,credit_card,57.58
o01041,credit_card,88.24
o01042,credit_card,83.1
o01043,boleto,71.34
o01044,credit_card,110.07
o01045,credit_card,81.75
o01046,voucher,85.24
o01047,credit_card,36.26
o01048,credit_card,115.44
o01049,credit_card,106.67
o01050,voucher,73.32
o01051,credit_card,104.29
o01052,credit_card,64.41
o01053,credit_card,160.02
o01054,credit_card,69.52
o01055,credit_card,63.19
o01056,credit_card,82.1
o01057,credit_card,183.69
o01058,credit_card,48.06
o01059,credit_card,78.99
o01060,credit_card,49.98
o01061,credit_card,63.15
o01062,boleto,40.98
o01063,boleto,83.92
o01064,credit_card,66.32
o01065,credit_card,102.94
o01066,credit_card,121.12
o01067,credit_card,133.15
o01068,boleto,51.03
o01069,boleto,82.19
o01070,credit_card,138.82
o01071,credit_card,40.82
o01072,credit_card,70.36
o01073,debit_card,42.24
o01074,voucher,181.95
o01075,credit_card,137.77
o01076,credit_card,90.59
o01077,credit_card,89.74
o01078,boleto,44.35
o01079,boleto,148.75
o01080,credit_card,56.13
o01081,credit_card,46.65
o01082,credit_card,125.37
o01083,credit_card,53.29
o01084,credit_card,47.68
o01085,credit_card,106.62
o01086,credit_card,34.85
o01087,credit_card,91.25
o01088,voucher,70.81
o01089,credit_card,101.22
o01090,credit_card,85.41
o01091,boleto,271.68
o01092,credit_card,74.59
o01093,credit_card,53.2
o01094,credit_card,66.53
o01095,credit_card,84.88
