age,job,marital,education,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,duration,y
38,technician,single,tertiary,unknown,jun,1,-1,0,unknown,1.63,93.759,-44.9,2.685,5246.6,193,no
31,technician,single,tertiary,cellular,aug,4,-1,0,unknown,0.59,93.092,-34.5,2.414,5122.0,72,no
29,management,single,tertiary,unknown,jun,3,-1,0,unknown,-1.26,93.309,-43.7,4.739,5101.8,105,no
47,blue-collar,married,secondary,cellular,mar,1,-1,0,unknown,-0.36,93.332,-50.3,3.467,5124.8,3076,yes
30,unemployed,single,tertiary,cellular,nov,1,-1,0,unknown,-1.18,92.961,-35.8,2.482,5083.0,242,no
45,blue-collar,married,primary,cellular,jan,1,-1,0,unknown,-0.21,93.596,-38.4,3.626,5245.1,79,no
57,housemaid,married,tertiary,cellular,aug,2,-1,0,unknown,0.3,93.993,-42.3,3.767,5140.0,142,no
37,technician,married,secondary,cellular,aug,7,-1,0,unknown,-2.57,93.41,-34.7,4.01,5207.6,75,no
43,technician,married,secondary,cellular,aug,3,-1,0,unknown,0.3,94.186,-39.6,3.597,5050.2,313,no
54,management,single,tertiary,unknown,jun,1,-1,0,unknown,0.04,94.445,-50.5,4.582,5049.4,68,no
34,technician,married,secondary,cellular,aug,4,-1,0,unknown,0.99,93.34,-43.5,3.42,5118.9,136,no
59,unemployed,married,secondary,cellular,feb,3,-1,0,unknown,3.05,93.808,-42.5,4.245,5219.4,83,yes
46,blue-collar,married,unknown,unknown,may,2,-1,0,unknown,0.11,93.985,-44.2,2.548,5161.7,306,no
36,technician,married,secondary,cellular,may,3,-1,0,unknown,-1.2,94.09,-38.6,3.685,5203.2,187,no
54,blue-collar,married,secondary,cellular,may,1,-1,0,unknown,0.39,92.456,-43.6,1.773,5183.5,369,no
34,student,single,tertiary,cellular,aug,2,-1,0,unknown,1.65,93.332,-40.4,4.144,5158.8,267,no
48,blue-collar,married,secondary,cellular,jul,1,-1,0,unknown,-0.85,94.008,-44.6,1.441,5176.6,1171,no
51,management,married,tertiary,cellular,sep,1,98,2,failure,1.19,93.712,-39.3,4.479,5223.0,181,yes
31,technician,married,secondary,unknown,may,3,-1,0,unknown,0.41,93.677,-38.5,4.562,5212.2,117,no
39,services,single,secondary,cellular,may,3,357,3,other,1.27,94.212,-42.2,2.705,5271.4,667,yes
26,blue-collar,married,primary,unknown,may,6,-1,0,unknown,0.86,93.425,-38.8,2.965,5098.4,21,no
39,blue-collar,married,secondary,cellular,apr,1,-1,0,unknown,-0.25,93.177,-42.7,3.58,5228.5,354,no
31,management,single,tertiary,cellular,aug,2,-1,0,unknown,2.21,93.382,-38.0,4.614,5239.4,158,no
44,entrepreneur,married,tertiary,telephone,jul,2,-1,0,unknown,2.65,93.227,-37.6,4.329,5106.9,289,no
54,management,married,unknown,telephone,jul,1,125,2,other,2.61,93.999,-32.9,4.277,5197.0,139,no
40,management,married,tertiary,unknown,may,3,-1,0,unknown,1.09,93.56,-44.7,4.601,5183.1,137,no
40,management,divorced,tertiary,cellular,jul,2,-1,0,unknown,-0.43,94.186,-44.2,3.873,5230.9,125,no
26,blue-collar,single,secondary,cellular,jul,6,-1,0,unknown,2.87,94.031,-40.2,2.823,5137.4,14,no
32,management,single,secondary,cellular,nov,2,-1,0,unknown,-0.33,94.286,-34.4,3.279,5181.4,268,no
44,management,married,tertiary,cellular,aug,4,-1,0,unknown,1.66,94.216,-33.6,3.498,5244.1,121,no
29,admin.,married,tertiary,cellular,aug,1,78,3,success,-0.27,93.943,-37.0,2.818,5191.2,97,no
40,admin.,single,secondary,unknown,jun,3,-1,0,unknown,1.68,93.208,-44.5,4.215,5179.1,14,no
36,blue-collar,divorced,secondary,cellular,jul,6,-1,0,unknown,2.94,93.534,-51.8,4.82,5081.8,42,no
37,management,married,tertiary,cellular,aug,2,-1,0,unknown,1.72,94.291,-43.0,5.28,5194.0,78,no
30,technician,single,secondary,telephone,jan,2,-1,0,unknown,-1.29,93.912,-43.5,2.456,5165.4,60,no
37,management,single,tertiary,telephone,aug,2,-1,0,unknown,0.63,93.655,-41.9,1.56,5157.5,293,no
26,technician,single,secondary,cellular,jul,2,-1,0,unknown,3.95,93.428,-43.2,4.151,5182.8,362,no
51,self-employed,single,tertiary,cellular,jul,2,-1,0,unknown,0.04,93.642,-41.9,3.628,5120.9,139,no
62,management,married,tertiary,cellular,oct,2,-1,0,unknown,1.69,93.511,-44.8,2.973,5096.1,212,yes
51,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,1.34,93.37,-46.5,3.637,5132.6,173,no
30,management,married,tertiary,cellular,may,2,298,1,failure,0.33,93.919,-38.6,3.538,5202.3,97,no
26,technician,married,secondary,unknown,jun,3,-1,0,unknown,-1.54,93.275,-45.9,4.17,5209.9,758,no
42,blue-collar,married,primary,unknown,jun,12,-1,0,unknown,-2.05,94.515,-44.7,4.306,5237.2,288,no
52,blue-collar,married,secondary,unknown,jun,3,-1,0,unknown,0.5,93.883,-44.1,3.591,5101.1,83,no
35,blue-collar,single,secondary,telephone,jul,4,-1,0,unknown,-1.45,93.762,-41.0,4.358,5254.6,41,no
28,admin.,married,secondary,unknown,jun,5,-1,0,unknown,0.73,93.994,-42.2,4.343,5206.4,161,no
32,unemployed,married,tertiary,cellular,aug,2,-1,0,unknown,1.64,93.66,-42.0,1.697,5286.3,266,no
47,blue-collar,married,primary,cellular,aug,6,-1,0,unknown,-0.89,93.78,-39.4,3.747,5136.9,106,no
38,technician,single,secondary,cellular,jan,1,-1,0,unknown,-1.01,94.378,-39.1,1.979,5191.2,52,no
51,admin.,married,secondary,cellular,aug,1,-1,0,unknown,2.96,93.824,-35.5,4.973,5229.2,231,no
36,self-employed,married,primary,unknown,jun,2,-1,0,unknown,0.53,93.973,-41.9,3.311,5178.5,71,no
34,housemaid,married,primary,cellular,aug,7,-1,0,unknown,-1.36,93.675,-39.7,2.031,5222.3,17,no
34,blue-collar,married,unknown,cellular,apr,1,-1,0,unknown,2.89,93.676,-37.5,3.475,5098.5,233,no
29,management,single,tertiary,unknown,may,7,-1,0,unknown,0.01,94.054,-46.9,2.77,5188.6,112,no
57,technician,married,unknown,telephone,feb,2,-1,0,unknown,-1.67,93.591,-41.0,1.756,5184.0,258,no
44,management,divorced,unknown,cellular,nov,1,-1,0,unknown,1.48,94.149,-33.9,3.224,5158.5,279,no
31,services,single,secondary,cellular,apr,2,-1,0,unknown,2.27,93.635,-42.6,1.987,5165.3,815,no
36,management,married,tertiary,cellular,nov,1,175,2,failure,1.01,93.964,-44.2,1.818,5171.8,103,no
29,management,single,tertiary,cellular,apr,2,-1,0,unknown,0.63,94.052,-35.9,2.879,5190.8,548,yes
41,entrepreneur,divorced,tertiary,cellular,nov,10,-1,0,unknown,1.24,94.089,-40.4,4.441,5271.8,21,no
25,blue-collar,single,primary,unknown,jun,2,-1,0,unknown,0.62,92.82,-35.8,3.54,5154.1,45,no
32,blue-collar,married,secondary,cellular,sep,1,99,5,success,-0.69,92.849,-40.7,4.678,5261.1,185,yes
35,management,divorced,tertiary,cellular,apr,2,-1,0,unknown,0.6,93.038,-41.4,4.043,5122.8,75,no
42,blue-collar,married,secondary,unknown,jun,8,-1,0,unknown,0.96,92.595,-42.9,4.811,5245.1,229,no
59,retired,married,secondary,cellular,nov,2,-1,0,unknown,0.48,93.793,-36.2,3.192,5222.7,972,no
28,technician,single,tertiary,cellular,may,2,-1,0,unknown,1.84,93.668,-44.2,3.16,5132.7,233,no
52,management,married,tertiary,cellular,jul,1,-1,0,unknown,-1.37,92.788,-34.7,3.04,5187.0,94,no
29,blue-collar,married,secondary,telephone,apr,3,331,10,other,0.14,94.527,-48.2,2.949,5209.7,501,no
25,technician,single,secondary,unknown,jun,3,-1,0,unknown,0.97,94.344,-48.3,1.668,5196.4,63,no
32,services,married,secondary,cellular,feb,4,201,6,failure,1.95,93.679,-46.8,4.306,5184.7,158,no
35,self-employed,married,secondary,cellular,aug,7,-1,0,unknown,0.76,93.506,-37.4,3.757,5211.9,73,no
30,services,divorced,secondary,cellular,jul,10,-1,0,unknown,1.7,94.035,-36.3,6.178,5126.8,524,no
26,unknown,single,secondary,telephone,feb,3,-1,0,unknown,1.11,93.863,-43.6,2.889,5255.4,341,no
40,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,0.29,93.79,-45.5,2.668,5092.7,420,no
76,retired,married,secondary,telephone,oct,2,-1,0,unknown,1.05,93.55,-39.9,1.819,5176.4,282,yes
38,management,married,tertiary,cellular,aug,3,-1,0,unknown,0.11,94.083,-43.9,3.499,5170.0,170,no
27,blue-collar,single,secondary,cellular,jul,1,-1,0,unknown,-0.14,93.693,-40.7,2.95,5161.2,264,no
53,management,married,tertiary,cellular,jul,1,-1,0,unknown,0.13,93.284,-36.4,3.096,5248.8,296,no
39,admin.,married,secondary,cellular,may,2,364,3,failure,-1.52,94.27,-38.6,3.196,5231.7,454,yes
35,technician,single,secondary,unknown,may,2,-1,0,unknown,1.45,93.423,-45.0,4.859,5103.1,163,no
44,technician,single,secondary,telephone,mar,2,-1,0,unknown,-0.99,94.436,-41.2,3.8,5256.0,382,yes
28,admin.,single,secondary,cellular,may,2,-1,0,unknown,1.76,93.746,-36.5,3.289,5160.4,404,no
35,self-employed,married,secondary,telephone,jul,4,-1,0,unknown,-0.02,93.969,-39.3,2.979,5259.8,126,no
52,technician,married,unknown,cellular,jul,2,-1,0,unknown,-0.15,93.843,-44.0,4.002,5220.0,101,no
66,retired,married,secondary,cellular,oct,1,-1,0,unknown,0.4,93.165,-47.0,4.042,5135.6,189,no
32,management,married,tertiary,cellular,jul,8,-1,0,unknown,1.9,94.084,-42.4,1.002,5184.0,221,no
39,technician,married,secondary,cellular,may,3,357,4,failure,-0.54,93.94,-45.7,3.222,5156.8,122,no
52,admin.,married,secondary,telephone,jul,4,-1,0,unknown,2.26,94.351,-47.2,2.581,5112.1,1142,no
34,technician,married,tertiary,cellular,nov,1,-1,0,unknown,-1.89,93.531,-44.5,3.436,5154.1,85,no
60,technician,married,unknown,unknown,may,1,-1,0,unknown,1.51,93.272,-34.6,3.671,5239.2,77,no
55,blue-collar,married,primary,unknown,jun,18,-1,0,unknown,2.56,92.792,-42.5,3.465,5131.4,40,no
47,services,married,secondary,cellular,aug,6,-1,0,unknown,0.35,93.755,-33.2,3.488,5122.8,119,no
42,unemployed,divorced,secondary,unknown,may,2,-1,0,unknown,1.51,94.412,-41.8,3.376,5104.4,855,yes
48,blue-collar,married,primary,cellular,aug,8,-1,0,unknown,0.67,93.372,-42.5,3.464,5210.4,158,no
57,retired,divorced,primary,unknown,may,1,-1,0,unknown,-0.09,93.382,-46.9,2.828,5114.2,32,no
32,blue-collar,married,primary,telephone,jul,19,-1,0,unknown,-2.07,93.649,-41.2,3.238,5236.1,454,no
32,blue-collar,single,primary,cellular,may,1,-1,0,unknown,-0.68,93.743,-48.5,2.928,5197.2,109,no
35,management,single,tertiary,cellular,nov,1,-1,0,unknown,0.03,93.466,-41.2,2.666,5015.8,370,no
31,blue-collar,single,primary,unknown,may,3,-1,0,unknown,-0.69,93.557,-44.3,4.27,5156.9,485,no
46,services,divorced,secondary,cellular,may,3,-1,0,unknown,-1.15,93.831,-47.5,1.306,5229.4,281,no
29,services,married,secondary,cellular,apr,3,-1,0,unknown,1.8,93.36,-35.1,3.637,5076.2,204,no
32,unemployed,married,secondary,cellular,feb,3,-1,0,unknown,0.73,94.061,-43.5,1.104,5247.0,450,no
44,services,married,secondary,cellular,apr,2,-1,0,unknown,0.16,93.085,-35.7,3.578,5106.5,525,no
55,management,married,secondary,unknown,jun,2,-1,0,unknown,0.33,93.504,-44.9,3.397,5171.7,271,no
69,retired,married,primary,cellular,feb,2,-1,0,unknown,0.2,93.391,-49.1,2.381,5170.7,354,yes
30,services,married,secondary,cellular,apr,1,325,2,other,0.64,94.026,-40.7,3.666,5277.0,79,no
31,blue-collar,married,secondary,cellular,jul,1,-1,0,unknown,3.08,93.603,-42.3,2.898,5195.6,181,no
35,technician,married,secondary,unknown,may,4,-1,0,unknown,0.17,93.755,-38.0,3.429,5127.5,79,no
47,self-employed,married,secondary,cellular,aug,6,-1,0,unknown,1.76,93.533,-36.2,2.749,5178.3,90,no
52,management,single,tertiary,cellular,nov,3,-1,0,unknown,2.55,94.086,-46.1,2.826,5133.5,79,no
32,management,married,tertiary,cellular,sep,3,36,11,success,0.62,94.197,-33.6,4.241,5177.0,251,no
46,blue-collar,single,primary,cellular,nov,1,183,1,other,-0.08,94.361,-44.6,3.395,5139.6,84,no
21,unemployed,single,secondary,cellular,aug,2,-1,0,unknown,3.3,94.67,-35.4,3.056,5146.0,280,no
30,self-employed,single,tertiary,cellular,jul,1,-1,0,unknown,0.84,93.842,-41.7,2.734,5146.5,537,yes
52,management,married,tertiary,cellular,nov,2,-1,0,unknown,0.83,93.405,-38.2,3.675,5246.7,268,no
53,blue-collar,married,primary,unknown,jun,1,-1,0,unknown,1.27,93.018,-45.6,2.886,5172.8,384,no
30,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,1.06,93.676,-40.0,4.064,5138.7,236,no
38,management,married,secondary,unknown,may,2,-1,0,unknown,0.16,93.303,-40.9,4.626,5097.5,233,no
39,blue-collar,divorced,unknown,cellular,may,1,-1,0,unknown,1.07,93.994,-42.7,3.171,5227.1,169,no
33,management,single,secondary,cellular,aug,1,-1,0,unknown,2.57,93.041,-39.6,3.791,5150.0,199,no
35,blue-collar,married,primary,unknown,may,1,-1,0,unknown,-1.59,93.213,-45.8,4.191,5201.5,1334,yes
34,blue-collar,married,secondary,cellular,jul,2,-1,0,unknown,0.0,93.394,-34.8,2.933,5231.5,254,no
36,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,-0.4,92.687,-39.6,4.883,5242.5,110,no
32,services,divorced,secondary,cellular,nov,2,-1,0,unknown,-1.93,93.733,-38.2,3.436,5222.2,331,no
32,management,married,tertiary,cellular,aug,4,-1,0,unknown,2.75,94.015,-44.0,4.513,5123.9,151,no
29,services,divorced,secondary,cellular,may,5,-1,0,unknown,-0.3,93.682,-40.0,3.159,5211.4,286,no
40,technician,single,secondary,cellular,aug,2,-1,0,unknown,1.03,94.189,-34.2,2.875,5098.4,58,no
51,technician,married,unknown,unknown,may,3,-1,0,unknown,0.97,93.455,-36.7,3.457,5160.5,124,no
32,technician,divorced,tertiary,cellular,may,3,256,9,failure,0.58,93.365,-34.6,3.704,5244.3,104,no
41,admin.,married,secondary,cellular,apr,2,150,2,failure,-1.54,93.374,-37.2,4.786,5153.8,185,no
37,admin.,single,secondary,unknown,may,2,-1,0,unknown,1.56,93.408,-32.8,2.514,5179.5,732,yes
31,management,married,tertiary,cellular,may,1,170,2,failure,-1.83,94.49,-41.9,3.199,5221.9,127,no
33,management,single,tertiary,unknown,may,6,-1,0,unknown,0.83,93.733,-42.5,5.396,5182.3,347,no
31,technician,divorced,secondary,cellular,jul,1,-1,0,unknown,0.28,93.809,-38.5,2.726,5232.5,146,no
37,technician,divorced,secondary,cellular,jul,1,-1,0,unknown,0.42,93.871,-44.0,4.017,5223.4,283,no
44,management,married,unknown,unknown,may,1,-1,0,unknown,-0.8,94.154,-39.9,3.154,5167.7,185,no
39,admin.,married,secondary,cellular,apr,1,-1,0,unknown,0.6,93.502,-35.5,5.13,5184.4,306,no
29,blue-collar,married,secondary,cellular,jul,4,-1,0,unknown,1.41,94.11,-41.5,4.336,5218.5,141,no
53,technician,divorced,primary,unknown,may,1,-1,0,unknown,-0.81,93.062,-46.1,3.63,5221.0,476,yes
27,housemaid,married,primary,cellular,jul,3,-1,0,unknown,1.58,93.733,-44.0,3.858,5129.6,435,no
34,blue-collar,married,secondary,unknown,may,3,-1,0,unknown,0.45,94.244,-43.7,2.589,5215.3,91,no
35,self-employed,single,tertiary,cellular,jul,3,-1,0,unknown,0.72,94.174,-32.6,2.722,5156.9,101,no
39,blue-collar,married,primary,unknown,may,1,-1,0,unknown,-0.8,93.679,-35.0,4.278,5188.2,813,yes
56,services,married,secondary,telephone,jul,6,-1,0,unknown,0.13,94.052,-45.3,4.173,5263.0,106,no
35,admin.,married,secondary,unknown,jun,1,-1,0,unknown,0.69,94.054,-39.3,4.036,5235.0,359,no
45,technician,married,tertiary,cellular,aug,3,-1,0,unknown,0.98,94.945,-41.3,4.417,5208.2,14,no
29,blue-collar,married,secondary,cellular,may,1,-1,0,unknown,-0.61,94.052,-47.3,3.503,5281.0,785,no
49,entrepreneur,married,primary,cellular,nov,1,-1,0,unknown,0.01,93.598,-42.6,2.819,5230.6,453,yes
53,admin.,married,secondary,cellular,may,2,168,3,failure,-0.89,93.967,-40.2,3.929,5127.4,286,no
41,entrepreneur,divorced,tertiary,cellular,nov,1,-1,0,unknown,-0.22,93.443,-43.4,2.889,5133.1,176,no
34,housemaid,married,tertiary,cellular,may,1,188,1,failure,-1.18,93.89,-46.8,1.769,5169.5,141,no
34,technician,single,secondary,cellular,jul,2,160,8,other,0.07,93.582,-35.3,5.181,5151.5,174,yes
58,management,married,tertiary,cellular,jun,1,391,1,failure,-0.08,93.685,-34.1,3.652,5124.8,1361,no
30,technician,single,secondary,cellular,aug,3,-1,0,unknown,0.62,94.254,-39.4,4.931,5187.9,696,no
57,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,-1.13,93.869,-39.7,4.861,5153.2,258,no
55,unknown,married,unknown,unknown,may,5,-1,0,unknown,1.69,93.873,-39.3,4.907,5279.9,73,no
45,technician,married,secondary,cellular,feb,2,169,12,failure,-0.18,93.707,-35.0,2.636,5191.2,235,no
36,blue-collar,married,secondary,cellular,may,1,-1,0,unknown,0.66,94.058,-53.4,2.89,5163.7,172,no
45,admin.,single,secondary,cellular,apr,3,143,6,failure,-0.74,93.831,-37.9,4.314,5144.1,754,no
56,retired,divorced,primary,cellular,may,2,-1,0,unknown,0.29,94.352,-41.2,2.709,5179.4,132,no
39,management,married,tertiary,unknown,may,3,-1,0,unknown,0.36,93.605,-42.4,2.408,5208.1,87,no
46,technician,married,secondary,cellular,may,3,-1,0,unknown,0.45,93.198,-51.8,3.799,5234.6,614,yes
32,self-employed,married,secondary,unknown,may,6,-1,0,unknown,0.64,93.81,-30.8,4.087,5261.5,75,no
57,management,married,tertiary,cellular,feb,2,-1,0,unknown,0.62,93.524,-39.1,3.11,5218.4,191,no
47,blue-collar,married,primary,unknown,may,2,-1,0,unknown,-0.98,93.261,-38.3,4.795,5241.0,128,no
35,technician,married,secondary,cellular,apr,4,-1,0,unknown,-0.11,93.319,-48.8,4.099,5112.0,307,no
