order_id,seller_id,seller_state,customer_state,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,freight_value,price,delivery_days,estimated_days,delay_days,is_late
ol_00872,sl_0034,SP,RJ,2018-01-03,2018-01-19,2018-01-16,37.83,98.42,13,16,-3,0
ol_01363,sl_0005,SP,BA,2018-01-03,2018-01-18,2018-01-19,36.69,73.56,16,15,1,1
ol_00649,sl_0065,SP,SP,2018-01-04,2018-01-09,2018-01-10,34.42,38.16,6,5,1,1
ol_00987,sl_0041,MG,BA,2018-01-04,2018-01-13,2018-01-18,41.79,101.25,14,9,5,1
ol_00283,sl_0097,RJ,BA,2018-01-04,2018-01-14,2018-01-16,45.98,58.94,12,10,2,1
ol_00352,sl_0076,RJ,SP,2018-01-04,2018-01-18,2018-01-17,17.16,77.42,13,14,-1,0
ol_00647,sl_0070,SP,SP,2018-01-04,2018-01-18,2018-01-18,19.53,91.54,14,14,0,0
ol_01256,sl_0019,SP,GO,2018-01-04,2018-01-16,2018-01-18,25.23,68.08,14,12,2,1
ol_01091,sl_0050,SP,RJ,2018-01-04,2018-01-09,2018-01-13,41.72,112.02,9,5,4,1
ol_00089,sl_0037,MG,MG,2018-01-04,2018-01-12,2018-01-14,24.57,75.26,10,8,2,1
ol_00094,sl_0110,SP,RS,2018-01-04,2018-01-19,2018-01-19,46.53,187.28,15,15,0,0
ol_00086,sl_0048,PR,SP,2018-01-05,2018-01-10,2018-01-09,39.93,54.68,4,5,-1,0
ol_00285,sl_0078,MG,RJ,2018-01-05,2018-01-11,2018-01-14,43.39,151.9,9,6,3,1
ol_00785,sl_0060,SP,SP,2018-01-05,2018-01-20,2018-01-19,40.17,65.83,14,15,-1,0
ol_01132,sl_0008,MG,SP,2018-01-05,2018-01-10,2018-01-09,38.15,47.45,4,5,-1,0
ol_01636,sl_0117,MG,RJ,2018-01-05,2018-01-12,2018-01-12,31.44,79.41,7,7,0,0
ol_00571,sl_0074,RJ,RJ,2018-01-05,2018-01-12,2018-01-10,49.15,148.68,5,7,-2,0
ol_01941,sl_0024,SP,RJ,2018-01-05,2018-01-12,2018-01-15,30.27,35.44,10,7,3,1
ol_01858,sl_0091,RJ,SP,2018-01-05,2018-01-21,2018-01-25,30.24,73.73,20,16,4,1
ol_00984,sl_0092,RJ,RJ,2018-01-05,2018-01-12,2018-01-18,41.17,56.46,13,7,6,1
ol_00364,sl_0027,SP,RJ,2018-01-05,2018-01-22,2018-01-20,20.1,55.25,15,17,-2,0
ol_01878,sl_0067,SP,MG,2018-01-05,2018-01-21,2018-01-22,29.8,59.56,17,16,1,1
ol_01672,sl_0084,MG,PE,2018-01-05,2018-01-10,2018-01-11,25.93,123.42,6,5,1,1
ol_01235,sl_0053,SP,SP,2018-01-05,2018-01-11,2018-01-14,41.16,53.45,9,6,3,1
ol_01288,sl_0066,RJ,PR,2018-01-06,2018-01-23,2018-01-22,44.51,54.45,16,17,-1,0
ol_00813,sl_0083,PR,RS,2018-01-06,2018-01-17,2018-01-20,32.23,80.08,14,11,3,1
ol_00582,sl_0087,SP,PR,2018-01-06,2018-01-13,2018-01-16,39.31,77.09,10,7,3,1
ol_01722,sl_0064,MG,BA,2018-01-06,2018-01-21,2018-01-22,32.24,81.02,16,15,1,1
ol_00683,sl_0104,SC,RS,2018-01-06,2018-01-13,2018-01-16,39.41,138.67,10,7,3,1
ol_00877,sl_0001,SP,SP,2018-01-06,2018-01-21,2018-01-19,33.99,169.51,13,15,-2,0
ol_00240,sl_0058,PR,SP,2018-01-06,2018-01-22,2018-01-23,32.5,89.1,17,16,1,1
ol_01925,sl_0059,MG,RJ,2018-01-06,2018-01-14,2018-01-19,39.93,65.69,13,8,5,1
ol_01541,sl_0061,SC,RJ,2018-01-06,2018-01-23,2018-01-24,27.97,85.45,18,17,1,1
ol_01973,sl_0013,SP,RS,2018-01-06,2018-01-11,2018-01-14,30.3,45.47,8,5,3,1
ol_00055,sl_0113,BA,BA,2018-01-06,2018-01-16,2018-01-18,59.11,58.8,12,10,2,1
ol_00399,sl_0029,PR,BA,2018-01-06,2018-01-19,2018-01-21,34.28,137.53,15,13,2,1
ol_01383,sl_0034,RJ,RS,2018-01-07,2018-01-16,2018-01-17,23.22,133.39,10,9,1,1
ol_01354,sl_0106,MG,GO,2018-01-07,2018-01-15,2018-01-17,43.88,133.82,10,8,2,1
ol_00239,sl_0025,PR,SP,2018-01-07,2018-01-20,2018-01-20,30.85,96.45,13,13,0,0
ol_01393,sl_0049,PR,MG,2018-01-07,2018-01-24,2018-01-25,39.92,66.03,18,17,1,1
ol_00325,sl_0039,SC,PE,2018-01-07,2018-01-20,2018-01-24,51.64,60.08,17,13,4,1
ol_00242,sl_0079,RJ,RJ,2018-01-07,2018-01-22,2018-01-21,41.63,69.66,14,15,-1,0
ol_00864,sl_0113,SP,RS,2018-01-07,2018-01-12,2018-01-16,23.95,60.9,9,5,4,1
ol_01563,sl_0037,RJ,RS,2018-01-07,2018-01-16,2018-01-19,45.99,124.76,12,9,3,1
ol_01194,sl_0087,PR,PR,2018-01-07,2018-01-22,2018-01-20,29.6,58.79,13,15,-2,0
ol_01565,sl_0096,SC,SP,2018-01-07,2018-01-12,2018-01-11,15.75,84.63,4,5,-1,0
ol_01516,sl_0031,RJ,RJ,2018-01-07,2018-01-21,2018-01-25,40.61,132.08,18,14,4,1
ol_01968,sl_0075,BA,MG,2018-01-07,2018-01-20,2018-01-21,32.93,231.52,14,13,1,1
ol_00479,sl_0045,SP,MG,2018-01-07,2018-01-20,2018-01-20,35.46,125.98,13,13,0,0
ol_01571,sl_0064,RJ,RS,2018-01-07,2018-01-15,2018-01-18,38.25,44.31,11,8,3,1
ol_00164,sl_0059,PR,BA,2018-01-07,2018-01-13,2018-01-15,37.08,171.81,8,6,2,1
ol_01905,sl_0047,SP,RJ,2018-01-07,2018-01-16,2018-01-17,37.69,81.57,10,9,1,1
ol_01220,sl_0098,SC,SP,2018-01-07,2018-01-24,2018-02-13,109.52,42.94,37,17,20,1
ol_01389,sl_0051,MG,MG,2018-01-08,2018-01-21,2018-01-23,28.07,52.07,15,13,2,1
ol_00588,sl_0096,RJ,MG,2018-01-08,2018-01-23,2018-01-24,35.24,67.01,16,15,1,1
ol_01902,sl_0067,BA,RS,2018-01-08,2018-01-17,2018-01-19,47.24,61.97,11,9,2,1
ol_01861,sl_0104,SP,SP,2018-01-08,2018-01-21,2018-01-22,35.63,160.25,14,13,1,1
ol_00964,sl_0105,SP,PR,2018-01-08,2018-01-15,2018-01-11,39.05,44.25,3,7,-4,0
ol_01443,sl_0020,BA,BA,2018-01-08,2018-01-22,2018-01-22,21.08,58.91,14,14,0,0
ol_01906,sl_0019,MG,MG,2018-01-08,2018-01-20,2018-01-21,38.59,107.34,13,12,1,1
ol_01577,sl_0071,BA,SP,2018-01-08,2018-01-15,2018-01-15,21.62,143.45,7,7,0,0
ol_00912,sl_0005,RJ,MG,2018-01-08,2018-01-20,2018-01-20,32.64,103.85,12,12,0,0
ol_00461,sl_0081,SP,SP,2018-01-08,2018-01-20,2018-01-20,21.57,67.44,12,12,0,0
ol_00989,sl_0077,MG,RS,2018-01-08,2018-01-17,2018-01-17,28.72,56.57,9,9,0,0
ol_01088,sl_0009,RJ,SP,2018-01-08,2018-01-22,2018-01-21,13.24,55.29,13,14,-1,0
ol_01845,sl_0003,PR,BA,2018-01-08,2018-01-16,2018-01-22,30.05,141.78,14,8,6,1
ol_00820,sl_0060,BA,RJ,2018-01-08,2018-01-16,2018-01-18,36.8,83.61,10,8,2,1
ol_00896,sl_0037,SP,PR,2018-01-08,2018-01-24,2018-01-24,30.18,29.33,16,16,0,0
ol_00870,sl_0107,SP,SP,2018-01-09,2018-01-18,2018-01-18,48.87,119.44,9,9,0,0
ol_00126,sl_0117,PR,PE,2018-01-09,2018-01-16,2018-01-15,34.83,179.92,6,7,-1,0
ol_00319,sl_0061,SP,RJ,2018-01-09,2018-01-16,2018-01-18,37.78,96.07,9,7,2,1
ol_01884,sl_0083,MG,SP,2018-01-09,2018-01-14,2018-01-13,28.66,140.42,4,5,-1,0
ol_00895,sl_0100,PR,SP,2018-01-09,2018-01-19,2018-01-19,30.25,73.74,10,10,0,0
ol_00432,sl_0114,RJ,SP,2018-01-09,2018-01-14,2018-01-14,40.3,91.73,5,5,0,0
ol_00502,sl_0096,SP,MG,2018-01-09,2018-01-16,2018-01-15,21.45,45.86,6,7,-1,0
ol_00413,sl_0026,SP,MG,2018-01-09,2018-01-15,2018-01-16,28.43,79.16,7,6,1,1
ol_01280,sl_0078,PR,RJ,2018-01-09,2018-01-14,2018-01-11,23.65,74.21,2,5,-3,0
ol_00018,sl_0021,SP,PR,2018-01-09,2018-01-16,2018-01-18,40.45,53.01,9,7,2,1
ol_01188,sl_0030,PR,RS,2018-01-09,2018-01-22,2018-01-24,34.79,102.65,15,13,2,1
ol_01530,sl_0066,SC,PR,2018-01-10,2018-01-15,2018-01-17,51.37,59.47,7,5,2,1
ol_00873,sl_0116,SC,RJ,2018-01-10,2018-01-26,2018-01-28,29.94,217.54,18,16,2,1
ol_01203,sl_0062,SP,PR,2018-01-10,2018-01-16,2018-01-15,29.71,69.4,5,6,-1,0
ol_01926,sl_0067,SP,RS,2018-01-10,2018-01-24,2018-01-26,32.8,82.36,16,14,2,1
ol_01208,sl_0106,SP,MG,2018-01-10,2018-01-18,2018-01-17,30.7,53.05,7,8,-1,0
ol_01133,sl_0094,SP,RS,2018-01-10,2018-01-18,2018-01-19,26.71,139.51,9,8,1,1
ol_01812,sl_0022,RJ,RJ,2018-01-10,2018-01-17,2018-01-19,38.58,75.44,9,7,2,1
ol_01287,sl_0091,RJ,MG,2018-01-10,2018-01-26,2018-01-22,19.13,185.72,12,16,-4,0
ol_01448,sl_0045,BA,SP,2018-01-11,2018-01-25,2018-01-21,21.71,51.39,10,14,-4,0
ol_01073,sl_0039,MG,MG,2018-01-11,2018-01-24,2018-01-25,25.61,64.12,14,13,1,1
ol_00333,sl_0078,BA,MG,2018-01-11,2018-01-27,2018-01-23,33.69,78.43,12,16,-4,0
ol_00727,sl_0040,MG,SP,2018-01-11,2018-01-27,2018-01-30,48.8,122.27,19,16,3,1
ol_01788,sl_0010,RJ,RJ,2018-01-11,2018-01-26,2018-01-28,32.25,48.79,17,15,2,1
ol_00186,sl_0017,PR,SP,2018-01-11,2018-01-23,2018-01-25,40.16,63.71,14,12,2,1
ol_01503,sl_0060,PR,PR,2018-01-11,2018-01-27,2018-01-29,29.75,110.9,18,16,2,1
ol_00050,sl_0036,BA,MG,2018-01-11,2018-01-24,2018-01-25,29.35,167.22,14,13,1,1
ol_01362,sl_0091,SP,RS,2018-01-11,2018-01-18,2018-01-17,22.43,72.31,6,7,-1,0
ol_01538,sl_0082,RJ,PE,2018-01-11,2018-01-24,2018-01-25,35.33,63.03,14,13,1,1
ol_00423,sl_0016,BA,PE,2018-01-11,2018-01-18,2018-01-22,44.31,171.91,11,7,4,1
ol_00689,sl_0112,SP,PE,2018-01-11,2018-01-18,2018-01-23,40.59,60.46,12,7,5,1
ol_01369,sl_0074,MG,PE,2018-01-11,2018-01-18,2018-01-16,40.31,276.48,5,7,-2,0
ol_01116,sl_0056,MG,SP,2018-01-11,2018-01-26,2018-01-30,34.48,36.37,19,15,4,1
ol_00298,sl_0025,SP,SP,2018-01-12,2018-01-26,2018-01-29,27.34,74.29,17,14,3,1
ol_00669,sl_0109,SP,SP,2018-01-12,2018-01-17,2018-01-20,29.98,89.95,8,5,3,1
ol_01214,sl_0056,RJ,SP,2018-01-12,2018-01-22,2018-01-21,21.16,25.0,9,10,-1,0
ol_00833,sl_0007,SP,RS,2018-01-12,2018-01-18,2018-01-20,43.38,118.74,8,6,2,1
ol_01224,sl_0063,SP,RJ,2018-01-12,2018-01-26,2018-01-26,40.39,92.46,14,14,0,0
ol_01772,sl_0032,RJ,RJ,2018-01-12,2018-01-28,2018-01-29,34.13,131.14,17,16,1,1
ol_01024,sl_0014,PR,PE,2018-01-12,2018-01-27,2018-01-28,39.77,54.64,16,15,1,1
ol_01408,sl_0032,SP,BA,2018-01-12,2018-01-18,2018-01-21,33.53,136.23,9,6,3,1
ol_01514,sl_0032,MG,SP,2018-01-13,2018-01-26,2018-01-25,40.81,95.3,12,13,-1,0
ol_01561,sl_0055,MG,RJ,2018-01-13,2018-01-24,2018-01-23,47.71,166.0,10,11,-1,0
ol_01211,sl_0033,BA,SP,2018-01-13,2018-01-20,2018-01-23,30.02,83.86,10,7,3,1
ol_00085,sl_0030,SP,SP,2018-01-13,2018-01-19,2018-01-21,42.55,111.81,8,6,2,1
ol_00519,sl_0059,SP,SP,2018-01-13,2018-01-28,2018-01-29,41.39,62.41,16,15,1,1
ol_00065,sl_0039,SP,SP,2018-01-13,2018-01-30,2018-01-25,29.83,96.26,12,17,-5,0
ol_00167,sl_0085,RJ,RJ,2018-01-13,2018-01-29,2018-01-27,40.07,87.38,14,16,-2,0
ol_00881,sl_0003,SP,SP,2018-01-13,2018-01-30,2018-01-29,36.73,102.81,16,17,-1,0
ol_00217,sl_0081,MG,SP,2018-01-13,2018-01-27,2018-01-27,34.55,120.18,14,14,0,0
ol_01371,sl_0056,PR,RJ,2018-01-13,2018-01-29,2018-01-29,33.08,133.59,16,16,0,0
ol_00866,sl_0021,SP,RS,2018-01-13,2018-01-30,2018-02-01,39.12,25.0,19,17,2,1
ol_00185,sl_0034,SP,RJ,2018-01-13,2018-01-23,2018-01-28,27.51,71.04,15,10,5,1
ol_01570,sl_0093,SP,PR,2018-01-13,2018-01-18,2018-01-18,21.07,151.15,5,5,0,0
ol_01054,sl_0070,RJ,MG,2018-01-13,2018-01-28,2018-01-26,23.74,361.45,13,15,-2,0
ol_00435,sl_0015,PR,SP,2018-01-13,2018-01-23,2018-01-20,25.93,74.37,7,10,-3,0
ol_00542,sl_0083,SP,RJ,2018-01-13,2018-01-28,2018-01-27,33.12,153.31,14,15,-1,0
ol_01899,sl_0049,SP,SP,2018-01-14,2018-01-24,2018-01-24,48.07,45.48,10,10,0,0
ol_00294,sl_0001,RJ,RJ,2018-01-14,2018-01-27,2018-01-28,13.59,55.3,14,13,1,1
ol_01558,sl_0083,RJ,SP,2018-01-14,2018-01-29,2018-02-02,31.99,128.79,19,15,4,1
ol_01727,sl_0054,MG,SP,2018-01-14,2018-01-24,2018-01-25,21.22,171.8,11,10,1,1
ol_01932,sl_0084,SP,MG,2018-01-14,2018-01-28,2018-02-01,48.34,88.65,18,14,4,1
ol_01212,sl_0098,SP,SP,2018-01-14,2018-01-23,2018-01-21,15.8,122.29,7,9,-2,0
ol_01712,sl_0051,SP,SP,2018-01-14,2018-01-30,2018-01-27,21.71,68.83,13,16,-3,0
ol_01039,sl_0033,BA,RJ,2018-01-14,2018-01-21,2018-01-21,38.58,55.45,7,7,0,0
ol_01659,sl_0079,MG,SP,2018-01-14,2018-01-31,2018-02-01,23.09,81.43,18,17,1,1
ol_00150,sl_0117,SP,PR,2018-01-15,2018-01-29,2018-01-31,55.48,51.91,16,14,2,1
ol_01334,sl_0025,SP,BA,2018-01-15,2018-01-29,2018-01-27,38.2,147.71,12,14,-2,0
ol_00926,sl_0030,SP,MG,2018-01-15,2018-01-23,2018-01-20,27.62,95.39,5,8,-3,0
ol_01037,sl_0002,SP,SP,2018-01-15,2018-01-26,2018-01-26,25.0,121.27,11,11,0,0
ol_01759,sl_0025,PR,MG,2018-01-15,2018-01-27,2018-01-28,34.15,29.24,13,12,1,1
ol_01364,sl_0046,RJ,MG,2018-01-15,2018-01-28,2018-01-30,38.39,65.91,15,13,2,1
ol_00804,sl_0001,RJ,PR,2018-01-15,2018-02-01,2018-01-30,29.18,160.74,15,17,-2,0
ol_01201,sl_0092,SP,SP,2018-01-15,2018-01-23,2018-01-23,24.46,83.39,8,8,0,0
ol_00284,sl_0086,PR,SP,2018-01-15,2018-01-31,2018-02-04,37.06,90.77,20,16,4,1
ol_01592,sl_0002,RJ,RJ,2018-01-15,2018-01-23,2018-01-25,51.52,53.57,10,8,2,1
ol_01684,sl_0007,SP,PR,2018-01-15,2018-01-28,2018-01-30,33.24,60.08,15,13,2,1
ol_00906,sl_0069,SP,SP,2018-01-15,2018-01-23,2018-01-23,47.09,74.99,8,8,0,0
ol_00446,sl_0061,RJ,MG,2018-01-15,2018-01-23,2018-01-26,15.48,103.7,11,8,3,1
ol_01735,sl_0098,PR,RJ,2018-01-15,2018-01-26,2018-01-27,31.59,36.24,12,11,1,1
ol_01793,sl_0082,MG,SP,2018-01-15,2018-01-28,2018-01-29,35.71,91.0,14,13,1,1
ol_00200,sl_0115,RJ,MG,2018-01-16,2018-01-29,2018-01-30,31.98,48.6,14,13,1,1
ol_00434,sl_0056,SP,RJ,2018-01-16,2018-01-25,2018-01-25,32.11,121.14,9,9,0,0
ol_00514,sl_0038,MG,BA,2018-01-16,2018-02-02,2018-02-02,27.77,49.09,17,17,0,0
ol_00819,sl_0082,PR,RS,2018-01-16,2018-01-24,2018-01-27,28.06,212.51,11,8,3,1
ol_01997,sl_0095,SP,RS,2018-01-16,2018-01-21,2018-01-25,41.61,101.77,9,5,4,1
ol_00172,sl_0015,SC,PR,2018-01-16,2018-02-01,2018-02-01,39.11,212.78,16,16,0,0
ol_01495,sl_0038,SP,PR,2018-01-16,2018-01-23,2018-01-23,30.51,61.6,7,7,0,0
ol_00835,sl_0106,SP,GO,2018-01-16,2018-01-21,2018-01-25,46.27,69.56,9,5,4,1
ol_00528,sl_0079,MG,RS,2018-01-16,2018-01-24,2018-01-29,22.07,83.99,13,8,5,1
ol_00667,sl_0110,SC,SP,2018-01-17,2018-01-24,2018-01-26,37.15,87.37,9,7,2,1
ol_00377,sl_0054,SP,SP,2018-01-17,2018-02-01,2018-02-04,44.12,37.09,18,15,3,1
ol_00051,sl_0066,SP,BA,2018-01-17,2018-02-02,2018-02-10,45.87,239.47,24,16,8,1
ol_01341,sl_0093,SP,RJ,2018-01-17,2018-02-01,2018-02-06,45.76,194.9,20,15,5,1
ol_00925,sl_0084,RJ,SP,2018-01-17,2018-01-23,2018-01-26,30.97,107.74,9,6,3,1
ol_01651,sl_0005,SP,SP,2018-01-17,2018-01-30,2018-02-04,45.56,61.74,18,13,5,1
ol_00152,sl_0087,SP,PR,2018-01-17,2018-01-31,2018-02-03,23.42,149.52,17,14,3,1
ol_01353,sl_0054,SP,PE,2018-01-17,2018-02-01,2018-02-06,34.49,163.71,20,15,5,1
ol_00755,sl_0098,MG,RJ,2018-01-17,2018-01-27,2018-01-29,55.6,74.13,12,10,2,1
ol_01122,sl_0062,BA,RJ,2018-01-17,2018-01-25,2018-01-25,32.48,62.78,8,8,0,0
ol_01092,sl_0008,RJ,SP,2018-01-17,2018-01-25,2018-01-27,39.79,107.38,10,8,2,1
ol_01139,sl_0046,PR,BA,2018-01-17,2018-01-29,2018-02-01,36.92,108.13,15,12,3,1
ol_00757,sl_0055,MG,SP,2018-01-17,2018-01-26,2018-01-25,43.36,95.55,8,9,-1,0
ol_01609,sl_0014,RJ,PE,2018-01-18,2018-02-03,2018-02-05,38.87,127.33,18,16,2,1
ol_01539,sl_0056,PR,BA,2018-01-18,2018-01-30,2018-01-31,47.62,43.43,13,12,1,1
ol_00625,sl_0083,SP,RJ,2018-01-18,2018-01-30,2018-02-01,30.09,63.7,14,12,2,1
ol_00728,sl_0073,SP,GO,2018-01-18,2018-01-23,2018-01-24,25.3,49.86,6,5,1,1
ol_01058,sl_0054,PR,GO,2018-01-18,2018-02-04,2018-02-08,38.16,37.88,21,17,4,1
ol_01412,sl_0019,SP,SP,2018-01-18,2018-01-31,2018-01-30,31.75,127.53,12,13,-1,0
ol_00756,sl_0025,RJ,MG,2018-01-18,2018-02-04,2018-02-02,47.89,43.47,15,17,-2,0
ol_00158,sl_0117,SP,RJ,2018-01-19,2018-02-02,2018-02-04,30.74,72.41,16,14,2,1
ol_01305,sl_0049,SP,SP,2018-01-19,2018-01-25,2018-01-29,36.46,90.49,10,6,4,1
ol_00492,sl_0119,BA,MG,2018-01-19,2018-02-05,2018-02-06,38.43,44.31,18,17,1,1
ol_00048,sl_0051,SC,SP,2018-01-19,2018-02-05,2018-02-07,37.6,139.57,19,17,2,1
ol_00684,sl_0054,RJ,RS,2018-01-19,2018-02-01,2018-02-06,62.85,44.98,18,13,5,1
ol_01439,sl_0113,SP,RJ,2018-01-19,2018-02-04,2018-02-07,52.4,131.09,19,16,3,1
ol_00946,sl_0100,SC,GO,2018-01-19,2018-01-31,2018-02-01,31.06,123.49,13,12,1,1
ol_00846,sl_0076,SP,MG,2018-01-19,2018-02-04,2018-02-03,32.37,144.73,15,16,-1,0
ol_01969,sl_0082,SP,SP,2018-01-19,2018-01-27,2018-01-28,41.66,50.05,9,8,1,1
ol_00955,sl_0075,SP,PR,2018-01-19,2018-01-31,2018-01-31,30.46,102.19,12,12,0,0
ol_00302,sl_0110,SP,MG,2018-01-19,2018-01-25,2018-01-29,46.22,94.26,10,6,4,1
ol_00524,sl_0084,SP,RS,2018-01-19,2018-02-01,2018-02-03,18.69,144.75,15,13,2,1
ol_01615,sl_0070,SP,PE,2018-01-20,2018-01-31,2018-02-02,31.33,133.61,13,11,2,1
ol_01352,sl_0117,SP,SP,2018-01-20,2018-01-31,2018-02-02,35.73,121.66,13,11,2,1
ol_01991,sl_0040,RJ,SP,2018-01-20,2018-01-31,2018-01-28,24.75,50.65,8,11,-3,0
ol_01553,sl_0048,SP,RJ,2018-01-20,2018-02-05,2018-02-05,35.33,79.53,16,16,0,0
ol_00631,sl_0041,SP,SP,2018-01-20,2018-02-06,2018-02-07,26.28,53.78,18,17,1,1
ol_00211,sl_0034,SP,PE,2018-01-20,2018-02-02,2018-02-06,41.29,82.24,17,13,4,1
ol_00067,sl_0022,SP,SP,2018-01-20,2018-01-27,2018-01-28,39.48,112.81,8,7,1,1
ol_01510,sl_0067,SP,SP,2018-01-20,2018-01-31,2018-02-01,36.65,37.55,12,11,1,1
ol_01384,sl_0058,SP,SP,2018-01-20,2018-02-01,2018-02-03,38.98,137.43,14,12,2,1
ol_00601,sl_0046,SP,RJ,2018-01-20,2018-02-05,2018-02-07,43.88,157.17,18,16,2,1
ol_00271,sl_0021,SP,SP,2018-01-21,2018-01-31,2018-02-01,44.28,76.49,11,10,1,1
ol_01560,sl_0038,RJ,PE,2018-01-21,2018-01-30,2018-02-05,59.96,66.42,15,9,6,1
ol_01895,sl_0005,RJ,BA,2018-01-21,2018-02-02,2018-02-05,42.99,52.83,15,12,3,1
ol_01319,sl_0065,PR,SP,2018-01-21,2018-01-30,2018-01-30,40.78,44.76,9,9,0,0
ol_01437,sl_0072,PR,MG,2018-01-21,2018-02-06,2018-02-08,30.85,111.4,18,16,2,1
ol_01216,sl_0099,MG,RJ,2018-01-21,2018-01-30,2018-02-01,36.82,93.75,11,9,2,1
ol_01210,sl_0066,RJ,PR,2018-01-21,2018-02-03,2018-02-04,34.45,196.38,14,13,1,1
ol_00382,sl_0061,MG,MG,2018-01-21,2018-02-06,2018-02-04,37.01,85.59,14,16,-2,0
ol_01855,sl_0031,SC,PR,2018-01-21,2018-01-28,2018-01-29,41.21,90.72,8,7,1,1
ol_01000,sl_0018,BA,RS,2018-01-22,2018-02-08,2018-02-14,48.83,103.61,23,17,6,1
ol_01867,sl_0118,PR,SP,2018-01-22,2018-02-02,2018-02-02,37.81,54.42,11,11,0,0
ol_01694,sl_0046,BA,RJ,2018-01-22,2018-01-28,2018-01-26,43.63,84.04,4,6,-2,0
ol_00266,sl_0076,RJ,SP,2018-01-22,2018-01-28,2018-01-30,34.6,48.49,8,6,2,1
ol_00924,sl_0090,SP,MG,2018-01-22,2018-02-02,2018-02-04,46.9,228.67,13,11,2,1
ol_01771,sl_0031,BA,RS,2018-01-22,2018-02-02,2018-02-11,52.57,90.67,20,11,9,1
ol_01167,sl_0107,PR,PE,2018-01-22,2018-02-04,2018-02-05,37.64,111.96,14,13,1,1
ol_01328,sl_0058,SP,RJ,2018-01-22,2018-02-02,2018-01-31,31.48,80.87,9,11,-2,0
ol_01365,sl_0102,PR,RJ,2018-01-22,2018-02-05,2018-02-08,29.33,50.13,17,14,3,1
ol_00205,sl_0083,MG,BA,2018-01-22,2018-01-29,2018-01-28,24.93,157.53,6,7,-1,0
ol_00670,sl_0018,SP,SP,2018-01-23,2018-02-01,2018-02-02,30.32,121.0,10,9,1,1
